business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b06940,6015.90133227,8.70216146461,SEM,3,size_less_50,1,west,3,other_ind,0
b06941,5055.26790015,8.52818612711,SEO,4,unavailable,2,south,1,other_ind,0
b06942,1013.63285101,6.92129603871,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06943,3010.4444108,8.00984299163,Social,2,size_less_50,1,northeast,0,other_ind,0
b06944,1861.30985913,7.5290357442,DisplayOnTarget,0,size_less_50,1,south,1,elementary_and_secondary_schools,6
b06945,1077.25996855,6.98217603015,Email Marketing,1,size_less_50,1,midwest,2,other_ind,0
b06946,962.604922388,6.86964307049,DisplayOnTarget,0,size_less_50,1,south,1,other_ind,0
b06947,16080.0784079,9.68533641884,SEM,3,size_less_50,1,south,1,other_ind,0
b06948,9814.65741717,9.19163220209,Social,2,size_less_50,1,west,3,other_ind,0
b06949,815.675118964,6.70401613716,Social,2,size_50_100,3,midwest,2,offices_of_real_estate_agents_and_brokers,10
b06950,4446.8353827,8.39994797222,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b06951,2349.75342717,7.76206567703,SEM,3,unavailable,2,northeast,0,other_ind,0
b06952,871.635577603,6.77037142096,Email Marketing,1,size_less_50,1,midwest,2,other_ind,0
b06953,3090.76205827,8.03617296029,SEM,3,size_less_50,1,south,1,other_ind,0
b06954,5711.85322928,8.65029880854,DisplayOnTarget,0,size_50_100,3,south,1,new_multifamily_housing_construction_except_operative_builders,19
b06955,1469.68387793,7.29280260762,Social,2,size_50_100,3,south,1,new_multifamily_housing_construction_except_operative_builders,19
b06956,360.929801615,5.88868348406,DisplayOnTarget,0,unavailable,2,northeast,0,plumbing_heating_and_airconditioning_contractors,15
b06957,591.94610719,6.38341559559,DisplayOnTarget,0,size_less_50,1,northeast,0,offices_of_dentists,5
b06958,14316.2043739,9.56914734769,SEM,3,size_less_50,1,west,3,offices_of_dentists,5
b06959,6220.19561474,8.73555663455,Social,2,size_less_50,1,west,3,offices_of_dentists,5
b06960,2517.94252958,7.83119739051,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06961,8931.92133772,9.09738680613,SEM,3,size_less_50,1,northeast,0,other_ind,0
b06962,3204.24724553,8.07223247298,DisplayOnTarget,0,size_less_50,1,south,1,offices_of_physicians_except_mental_health_specialists,1
b06963,944.982732594,6.85116665494,DisplayOnTarget,0,unavailable,2,midwest,2,offices_of_real_estate_agents_and_brokers,10
b06964,408.058144913,6.01140967629,DisplayOnTarget,0,size_less_50,1,midwest,2,other_ind,0
b06965,695.422374125,6.54451939352,DisplayOnTarget,0,size_less_50,1,midwest,2,other_ind,0
b06966,448.761930381,6.10649252526,DisplayOnTarget,0,size_g_100,0,south,1,other_ind,0
b06967,1557.70316715,7.35096768655,Social,2,size_less_50,1,south,1,other_ind,0
b06968,1526.19284342,7.33053157569,Social,2,size_less_50,1,south,1,other_ind,0
b06969,543.076026748,6.29724932256,DisplayOnTarget,0,size_50_100,3,northeast,0,other_ind,0
b06970,1397.4996445,7.24243995065,DisplayOnTarget,0,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b06971,1454.85819012,7.28266371102,Social,2,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b06972,912.054360456,6.81569959406,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06973,1469.2826078,7.29252953875,DisplayOnTarget,0,size_50_100,3,northeast,0,other_ind,0
b06974,661.260862505,6.49414841027,Social,2,size_less_50,1,northeast,0,other_ind,0
b06975,24257.5710547,10.0964840561,DisplayOnTarget,0,size_less_50,1,northeast,0,offices_of_real_estate_agents_and_brokers,10
b06976,1496.25153166,7.31071828054,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06977,1861.22026247,7.52898760669,Email Marketing,1,size_g_100,0,northeast,0,other_ind,0
b06978,18049.4156483,9.80086858918,SEM,3,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b06979,1011.96936234,6.91965357503,Email Marketing,1,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b06980,3106.93623082,8.04139238482,Email Marketing,1,size_50_100,3,northeast,0,other_ind,0
b06981,2421.4155921,7.79210760354,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06982,4718.55432656,8.45925774492,SEM,3,size_less_50,1,northeast,0,other_ind,0
b06983,2711.94300131,7.90542063162,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06984,3050.19116015,8.0229595431,DisplayOnTarget,0,unavailable,2,northeast,0,other_ind,0
b06985,636.061586537,6.45529539283,Email Marketing,1,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b06986,3037.3569548,8.01874299347,SEM,3,size_less_50,1,northeast,0,other_ind,0
b06987,1025.68362251,6.93311461805,Social,2,size_less_50,1,northeast,0,other_ind,0
b06988,755.559548183,6.62745859817,Email Marketing,1,size_50_100,3,northeast,0,other_ind,0
b06989,1162.18519093,7.05805729729,DisplayOnTarget,0,size_g_100,0,northeast,0,other_ind,0
b06990,704.111153737,6.55693623253,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06991,2991.3778128,8.0034893672,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06992,561.38380461,6.33040481529,DisplayOnTarget,0,size_less_50,1,northeast,0,other_ind,0
b06993,2640.12707068,7.87858232782,Email Marketing,1,size_less_50,1,northeast,0,other_ind,0
b06994,1780.43083983,7.48461065885,DisplayOnTarget,0,unavailable,2,midwest,2,other_ind,0
b06995,5050.53043865,8.52724855411,Social,2,size_less_50,1,midwest,2,other_ind,0
