business_id,billed amount,log_billed_amount,product,product_idx,size,size_idx,region,region_idx,industry,industry_idx
b04470,1320.48423549,7.185753793380001,Display,0,unavailable,2,south,1,furniture_stores,16
b02968,591.9869890719999,6.383484656719999,Display,0,unavailable,2,midwest,2,other_ind,0
b08543,1551.44484181,7.34694193173,Social Ads,2,unavailable,2,west,3,other_ind,0
b11260,3155.13727713,8.056787285,SEM,3,unavailable,2,west,3,other_ind,0
b05231,926.14468543,6.83103047021,Email,1,size_less_50,1,northeast,0,other_ind,0
b05275,10252.6818009,9.23529458946,SEM,3,size_g_100,0,northeast,0,other_ind,0
b09564,923.7520289739999,6.828443668709999,Email,1,size_less_50,1,northeast,0,other_ind,0
b05210,981.390112541,6.88897004875,Email,1,size_less_50,1,northeast,0,new_car_dealers,4
b11694,1523.7871971,7.32895409205,Display,0,unavailable,2,northeast,0,other_ind,0
b12547,751.4813101960001,6.622046338890001,Display,0,unavailable,2,northeast,0,other_ind,0
b03908,342.073857078,5.83502667012,Display,0,unavailable,2,west,3,other_ind,0
b05063,3671.2974226,8.20830039972,SEM,3,size_less_50,1,northeast,0,other_ind,0
b09177,1084.6076018,6.9889735432399975,Display,0,size_less_50,1,south,1,other_ind,0
b02283,3840.41801805,8.25333649852,SEM,3,size_50_100,3,northeast,0,other_ind,0
b10851,1372.50514642,7.224392923039999,Display,0,size_less_50,1,south,1,other_ind,0
b11459,18342.5126984,9.81697674288,Email,1,unavailable,2,south,1,other_ind,0
b09821,1073.24499495,6.9784420436399985,Email,1,size_less_50,1,south,1,other_ind,0
b02593,3678.70922763,8.210317216269999,Display,0,unavailable,2,south,1,other_ind,0
b04058,5702.0363284999985,8.648578640639997,Display,0,unavailable,2,south,1,other_ind,0
b03759,1636.69929615,7.40043686847,SEM,3,unavailable,2,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b09211,1469.56929126,7.292724637689999,Display,0,size_less_50,1,northeast,0,fullservice_restaurants,8
b05917,436.241139881,6.07819516358,Display,0,size_g_100,0,northeast,0,other_ind,0
b10480,2533.84433284,7.8374929276,Email,1,size_less_50,1,south,1,other_ind,0
b09548,634.365366254,6.45262507592,Display,0,unavailable,2,west,3,other_ind,0
b04753,6118.66383882,8.71909902468,Social Ads,2,size_less_50,1,west,3,other_ind,0
b11851,2555.69397506,7.84607908026,Display,0,unavailable,2,northeast,0,other_ind,0
b10216,1329.76007273,7.1927538085,Display,0,size_g_100,0,northeast,0,other_ind,0
b10596,950.779039347,6.85728168996,Email,1,size_less_50,1,midwest,2,other_ind,0
b09256,1513.95063117,7.32247782526,Social Ads,2,size_less_50,1,south,1,other_ind,0
b08607,1414.27525766,7.25437249347,Display,0,size_less_50,1,midwest,2,other_ind,0
b08292,4715.32769109,8.45857369235,Display,0,unavailable,2,south,1,other_ind,0
b02792,1139.8941748,7.03869070796,Display,0,unavailable,2,midwest,2,other_ind,0
b08460,646.410199969,6.47143428674,Display,0,unavailable,2,northeast,0,other_ind,0
b11062,628.3005512130001,6.44301863672,Display,0,size_less_50,1,south,1,other_ind,0
b06979,1011.96936234,6.91965357503,Email,1,size_50_100,3,northeast,0,elementary_and_secondary_schools,6
b01232,7385.04414523,8.90721217264,Social Ads,2,unavailable,2,northeast,0,other_ind,0
b12476,13650.2007134,9.521509504780001,SEM,3,size_less_50,1,midwest,2,food_services_and_drinking_places,2
b05812,3616.12081187,8.19315713132,Email,1,size_less_50,1,midwest,2,other_ind,0
b03736,2094.29408097,7.64697182138,Display,0,unavailable,2,midwest,2,fullservice_restaurants,8
b04908,631.965549506,6.44883488239,Display,0,size_less_50,1,northeast,0,offices_of_physicians_except_mental_health_specialists,1
b05610,7962.69042984,8.98252221543,Display,0,size_less_50,1,northeast,0,other_ind,0
b02417,3678.47421015,8.21025332838,Display,0,size_less_50,1,south,1,other_ind,0
b07388,5229.38578385,8.56204910922,SEO,4,size_less_50,1,west,3,other_ind,0
b09389,722.669440687,6.58295191247,Display,0,size_less_50,1,south,1,other_ind,0
b00848,5818.56914251,8.6688096587,Display,0,unavailable,2,midwest,2,other_ind,0
b04364,2105.37189065,7.65224740065,Display,0,unavailable,2,midwest,2,other_ind,0
